subject,relation,object,condition,evidence_type,confidence,arxiv_id,title,citations,subject_original,relation_original
Large Language Model,reduces,Arithmetic Accuracy,"stack overflow, llama-3.2, few-shot prompting",Experimental_Result,5,2504.18912,Inferring Questions from Programming Screenshots,4,Large Language Model,reduces
Large Language Model,increases,Arithmetic Accuracy,"stack overflow, gpt-4o, gemini-1.5-pro, in-context learning",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4,Large Language Model,increases
Large Language Model,outperforms,Chain-of-Thought,"stack overflow, gpt-4o, in-context learning",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4,Large Language Model,outperforms
Large Language Model,equals,Chain-of-Thought,"stack overflow, gemini-1.5-pro, in-context learning",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4,Large Language Model,equals
Chain-of-Thought,improves,Arithmetic Accuracy,"sleepcot, sleep domain",Experimental_Result,5,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4,Chain-of-Thought,improves
Few-Shot Prompting,improves,Step-by-Step Reasoning,"sleepcot, sleep domain",Experimental_Result,5,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4,Few-Shot Prompting,improves
Large Language Model,outperforms,Few-Shot Prompting,"qwen-max, sleep domain",Experimental_Result,4,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4,Large Language Model,outperforms
Chain-of-Thought,enables,Verification Method,"sleepcot, ablation study",Experimental_Result,5,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4,Chain-of-Thought,enables
Few-Shot Prompting,correlates_with,Problem Complexity,"sleepcot, 0.5b vs 1.5b models",Experimental_Result,4,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4,Few-Shot Prompting,correlates_with
Large Language Model,reduces,Arithmetic Accuracy,"sleepcot-0.5b, sleep domain",Experimental_Result,4,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4,Large Language Model,reduces
Chain-of-Thought,increases,Self-Consistency,"sleepcot, personalized data increase",Experimental_Result,4,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4,Chain-of-Thought,increases
Few-Shot Prompting,outperforms,Zero-Shot Prompting,"sleepcot, ablation experiment",Experimental_Result,5,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4,Few-Shot Prompting,outperforms
Chain-of-Thought,depends_on,Problem Complexity,"sleepcot, data quality",Theoretical_Analysis,3,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4,Chain-of-Thought,depends_on
Large Language Model,improves,Arithmetic Accuracy,"sleepcot-1.5b, sleep domain",Experimental_Result,5,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4,Large Language Model,improves
Chain-of-Thought,improves,Arithmetic Accuracy,"gpqa, qwen2.5-7b",Experimental_Result,4,2601.03649,SyncThink: A Training-Free Strategy to Align Inference Termination with Reasoning Saturation,3,Chain-of-Thought,improves
Chain-of-Thought,reduces,Step-by-Step Reasoning,"syncthink, qwen2.5-7b",Experimental_Result,5,2601.03649,SyncThink: A Training-Free Strategy to Align Inference Termination with Reasoning Saturation,3,Chain-of-Thought,reduces
Chain-of-Thought,equals,Arithmetic Accuracy,"average benchmark, syncthink vs full reasoning",Experimental_Result,5,2601.03649,SyncThink: A Training-Free Strategy to Align Inference Termination with Reasoning Saturation,3,Chain-of-Thought,equals
Chain-of-Thought,improves,Arithmetic Accuracy,"mgsm, qwen instruct, cot-struct",Experimental_Result,5,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1,Chain-of-Thought,improves
Large Language Model,outperforms,Few-Shot Prompting,"mgsm, english, qwen instruct",Experimental_Result,5,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1,Large Language Model,outperforms
Arithmetic Accuracy,correlates_with,Language,"mgsm, qwen instruct, cot-struct",Experimental_Result,5,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1,Arithmetic Accuracy,correlates_with
Step-by-Step Reasoning,increases,Arithmetic Accuracy,"mgsm, qwen instruct, cot-struct",Experimental_Result,5,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1,Step-by-Step Reasoning,increases
Self-Consistency,correlates_with,Step-by-Step Reasoning,"mgsm, qwen instruct, bengali",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1,Self-Consistency,correlates_with
Large Language Model,degrades,Arithmetic Accuracy,"mgsm, qwen instruct, bengali",Experimental_Result,5,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1,Large Language Model,degrades
Verification Method,correlates_with,Step-by-Step Reasoning,"mgsm, qwen instruct, contextcite",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1,Verification Method,correlates_with
Step-by-Step Reasoning,correlates_with,Arithmetic Accuracy,"mgsm, qwen instruct, final reasoning step",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1,Step-by-Step Reasoning,correlates_with
Large Language Model,degrades,Structured Generation Compliance,"mgsm, qwen instruct, english",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1,Large Language Model,degrades
Large Language Model,improves,Structured Generation Compliance,"mgsm, qwen instruct, chinese",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1,Large Language Model,improves
Step-by-Step Reasoning,equals,Arithmetic Accuracy,"mgsm, qwen instruct, correct and incorrect predictions, french",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1,Step-by-Step Reasoning,equals
Chain-of-Thought,improves,Arithmetic Accuracy,"system-2 benchmarks, qwen model",Experimental_Result,4,2508.18743,CAC-CoT: Connector-Aware Compact Chain-of-Thought for Efficient Reasoning Data Synthesis Across Dual-System Cognitive Tasks,1,Chain-of-Thought,improves
Chain-of-Thought,reduces,Step-by-Step Reasoning,"system-2 tasks, compactness constraint",Experimental_Result,4,2508.18743,CAC-CoT: Connector-Aware Compact Chain-of-Thought for Efficient Reasoning Data Synthesis Across Dual-System Cognitive Tasks,1,Chain-of-Thought,reduces
Chain-of-Thought,outperforms,Few-Shot Prompting,"system-1 and system-2 benchmarks, qwen2.5-7b-instruct",Experimental_Result,4,2508.18743,CAC-CoT: Connector-Aware Compact Chain-of-Thought for Efficient Reasoning Data Synthesis Across Dual-System Cognitive Tasks,1,Chain-of-Thought,outperforms
Verification Method,improves,Arithmetic Accuracy,"system-2 tasks, connector-aware prompting",Experimental_Result,3,2508.18743,CAC-CoT: Connector-Aware Compact Chain-of-Thought for Efficient Reasoning Data Synthesis Across Dual-System Cognitive Tasks,1,Verification Method,improves
Problem Complexity,correlates_with,Step-by-Step Reasoning,"system-2 tasks, incorrect cases",Experimental_Result,3,2508.18743,CAC-CoT: Connector-Aware Compact Chain-of-Thought for Efficient Reasoning Data Synthesis Across Dual-System Cognitive Tasks,1,Problem Complexity,correlates_with
Chain-of-Thought,improves,Mathematical Reasoning,"somadhan, patigonit, 1000 samples",Experimental_Result,4,2505.21354,Leveraging Large Language Models for Bengali Math Word Problem Solving with Chain of Thought Reasoning,1,Chain-of-Thought,improves
Large Language Model,degrades,Mathematical Reasoning,"llama-3 (8b), bengali mwps",Experimental_Result,4,2505.21354,Leveraging Large Language Models for Bengali Math Word Problem Solving with Chain of Thought Reasoning,1,Large Language Model,degrades
Self-Consistency,improves,Chain-of-Thought,"mmlu, gpt-4o",Experimental_Result,5,2604.19395,Does Self-Consistency Improve the Recall of Encyclopedic Knowledge?,0,Self-Consistency,improves
Self-Consistency,improves,Arithmetic Accuracy,"gsm8k, gpt-4o",Experimental_Result,4,2604.19395,Does Self-Consistency Improve the Recall of Encyclopedic Knowledge?,0,Self-Consistency,improves
Self-Consistency,improves,Step-by-Step Reasoning,"mmlu, gpt-4o",Experimental_Result,5,2604.19395,Does Self-Consistency Improve the Recall of Encyclopedic Knowledge?,0,Self-Consistency,improves
Self-Consistency,improves,Knowledge Recall,"mmlu, gpt-4o",Experimental_Result,5,2604.19395,Does Self-Consistency Improve the Recall of Encyclopedic Knowledge?,0,Self-Consistency,improves
Self-Consistency,outperforms,Chain-of-Thought,"mmlu, gpt-4o",Experimental_Result,5,2604.19395,Does Self-Consistency Improve the Recall of Encyclopedic Knowledge?,0,Self-Consistency,outperforms
Self-Consistency,increases,Arithmetic Accuracy,"mmlu, gpt-4o",Experimental_Result,5,2604.19395,Does Self-Consistency Improve the Recall of Encyclopedic Knowledge?,0,Self-Consistency,increases
Self-Consistency,reduces,Runtime Efficiency,gpt-4o,Experimental_Result,3,2604.19395,Does Self-Consistency Improve the Recall of Encyclopedic Knowledge?,0,Self-Consistency,reduces
Self-Consistency,increases,Cost,gpt-4o,Experimental_Result,3,2604.19395,Does Self-Consistency Improve the Recall of Encyclopedic Knowledge?,0,Self-Consistency,increases
Chain-of-Thought,improves,Arithmetic Accuracy,"gsm8k, gpt-3.5",Literature_Citation,5,2511.23253,AgriCoT: A Chain-of-Thought Benchmark for Evaluating Reasoning in Vision-Language Models for Agriculture,0,Chain-of-Thought,improves
Chain-of-Thought,improves,Step-by-Step Reasoning,scienceqa,Literature_Citation,4,2511.23253,AgriCoT: A Chain-of-Thought Benchmark for Evaluating Reasoning in Vision-Language Models for Agriculture,0,Chain-of-Thought,improves
Self-Consistency,improves,Arithmetic Accuracy,gsm8k,Literature_Citation,4,2511.23253,AgriCoT: A Chain-of-Thought Benchmark for Evaluating Reasoning in Vision-Language Models for Agriculture,0,Self-Consistency,improves
Chain-of-Thought,enables,Step-by-Step Reasoning,multimodal settings,Literature_Citation,4,2511.23253,AgriCoT: A Chain-of-Thought Benchmark for Evaluating Reasoning in Vision-Language Models for Agriculture,0,Chain-of-Thought,enables
Large Language Model,outperforms,Few-Shot Prompting,"arithmetic, commonsense, logic tasks",Literature_Citation,4,2511.23253,AgriCoT: A Chain-of-Thought Benchmark for Evaluating Reasoning in Vision-Language Models for Agriculture,0,Large Language Model,outperforms
Chain-of-Thought,improves,Arithmetic Accuracy,"tag configuration, qwq",Experimental_Result,4,2510.01391,TAG-EQA: Text-And-Graph for Event Question Answering via Structured Prompting Strategies,0,Chain-of-Thought,improves
Few-Shot Prompting,improves,Arithmetic Accuracy,"t5, text modality, torquestra",Experimental_Result,4,2510.01391,TAG-EQA: Text-And-Graph for Event Question Answering via Structured Prompting Strategies,0,Few-Shot Prompting,improves
Chain-of-Thought,degrades,Arithmetic Accuracy,"t5, tag configuration",Experimental_Result,4,2510.01391,TAG-EQA: Text-And-Graph for Event Question Answering via Structured Prompting Strategies,0,Chain-of-Thought,degrades
Chain-of-Thought,improves,Mathematical Reasoning,"kga-ecot framework, multiple datasets, various llms",Experimental_Result,5,2508.04072,KG-Augmented Executable CoT for Mathematical Coding,0,Chain-of-Thought,improves
Chain-of-Thought,outperforms,Few-Shot Prompting,"kga-ecot, multiple mathematical reasoning datasets",Experimental_Result,5,2508.04072,KG-Augmented Executable CoT for Mathematical Coding,0,Chain-of-Thought,outperforms
Chain-of-Thought,outperforms,code-based reasoning methods,"kga-ecot, multiple mathematical reasoning datasets",Experimental_Result,5,2508.04072,KG-Augmented Executable CoT for Mathematical Coding,0,Chain-of-Thought,outperforms
Verification Method,improves,computational precision,"kga-ecot, external code execution mechanism",Experimental_Result,5,2508.04072,KG-Augmented Executable CoT for Mathematical Coding,0,Verification Method,improves
Verification Method,improves,answer verifiability,"kga-ecot, external code execution mechanism",Experimental_Result,5,2508.04072,KG-Augmented Executable CoT for Mathematical Coding,0,Verification Method,improves
