subject,relation,object,condition,evidence_type,confidence,arxiv_id,title,citations
Zero-Shot-CP,improves,Arithmetic Accuracy,"CommonsenseQA, GPT-4",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,improves,Arithmetic Accuracy,"StrategyQA, GPT-4",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,improves,Arithmetic Accuracy,"CommonsenseQA, GPT-3.5-Turbo",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,improves,Arithmetic Accuracy,"StrategyQA, GPT-3.5-Turbo",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,degrades,Arithmetic Accuracy,"GSM8K, GPT-4",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,degrades,Arithmetic Accuracy,"AQUA, GPT-4",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,degrades,Arithmetic Accuracy,"Date Understanding, GPT-4",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Zero-Shot-CP,degrades,Arithmetic Accuracy,"Shuffled Objects, GPT-4",Experimental_Result,4,2403.08211,Large Language Models are Contrastive Reasoners,15
Large Language Model,improves,Arithmetic Accuracy,"bioinformatics tasks, few-shot learning settings",Experimental_Result,4,2503.04013,Benchmarking Large Language Models on Multiple Tasks in Bioinformatics NLP with Prompting,12
Chain-of-Thought,improves,Zero-Shot Prompting,"biomedical QA, unspecified model",Experimental_Result,4,2506.12182,Instruction Tuning and CoT Prompting for Contextual Medical QA with LLMs,11
Instruction Fine-Tuning,improves,Large Language Model,"default prompts, biomedical QA",Experimental_Result,4,2506.12182,Instruction Tuning and CoT Prompting for Contextual Medical QA with LLMs,11
Chain-of-Thought,degrades,Large Language Model,"large-scale models, CoT fine-tuning",Experimental_Result,3,2506.12182,Instruction Tuning and CoT Prompting for Contextual Medical QA with LLMs,11
Chain-of-Thought,improves,semantic coherence,Pythia-2.8B,Experimental_Result,4,2507.22928,How does Chain of Thought Think? Mechanistic Interpretability of Chain-of-Thought Reasoning with Sparse Autoencoding,9
Chain-of-Thought,improves,interpretability,Pythia-2.8B,Experimental_Result,4,2507.22928,How does Chain of Thought Think? Mechanistic Interpretability of Chain-of-Thought Reasoning with Sparse Autoencoding,9
Chain-of-Thought,improves,semantic consistency,Pythia-2.8B,Experimental_Result,4,2507.22928,How does Chain of Thought Think? Mechanistic Interpretability of Chain-of-Thought Reasoning with Sparse Autoencoding,9
Chain-of-Thought,improves,causal relevance,Pythia-2.8B,Experimental_Result,4,2507.22928,How does Chain of Thought Think? Mechanistic Interpretability of Chain-of-Thought Reasoning with Sparse Autoencoding,9
Chain-of-Thought,reduces,feature activation sparsity,Pythia-2.8B,Experimental_Result,4,2507.22928,How does Chain of Thought Think? Mechanistic Interpretability of Chain-of-Thought Reasoning with Sparse Autoencoding,9
Chain-of-Thought,improves,semantic coherence,Pythia-70M,Experimental_Result,3,2507.22928,How does Chain of Thought Think? Mechanistic Interpretability of Chain-of-Thought Reasoning with Sparse Autoencoding,9
Chain-of-Thought,improves,semantic consistency,Pythia-70M,Experimental_Result,3,2507.22928,How does Chain of Thought Think? Mechanistic Interpretability of Chain-of-Thought Reasoning with Sparse Autoencoding,9
Chain-of-Thought,degrades,performance,Pythia-70M,Experimental_Result,3,2507.22928,How does Chain of Thought Think? Mechanistic Interpretability of Chain-of-Thought Reasoning with Sparse Autoencoding,9
Chain-of-Thought,improves,Arithmetic Accuracy,"HaluEval, GPT-3.5-Turbo",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Verification Method,outperforms,Chain-of-Thought,"FEVER, Self-Verification",Experimental_Result,5,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Verification Method,improves,Arithmetic Accuracy,"TruthfulQA, Self-Verification",Experimental_Result,5,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Verification Method,outperforms,Chain-of-Thought,"TruthfulQA, Self-Verification",Experimental_Result,5,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Chain-of-Thought,improves,Arithmetic Accuracy,"HaluEval, FEVER, TruthfulQA, all models",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Retrieval-Augmented Generation,improves,Arithmetic Accuracy,"HaluEval, FEVER, TruthfulQA, all models",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Verification Method,improves,Arithmetic Accuracy,"HaluEval, FEVER, TruthfulQA, all models",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Self-Consistency,improves,Arithmetic Accuracy,"HaluEval, FEVER, TruthfulQA, all models",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Chain-of-Thought,outperforms,Few-Shot Prompting,"HaluEval, FEVER, TruthfulQA, all models",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Retrieval-Augmented Generation,outperforms,Chain-of-Thought,"HaluEval, FEVER, TruthfulQA, all models",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Chain-of-Thought,enables,Retrieval-Augmented Generation,"HaluEval, RAG + CoT",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Verification Method,outperforms,Retrieval-Augmented Generation,"FEVER, TruthfulQA",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Retrieval-Augmented Generation,outperforms,Verification Method,"HaluEval, RAG + CoT",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Large Language Model,outperforms,Large Language Model,"FEVER, TruthfulQA, LLaMA-2 vs GPT-3.5-Turbo",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Verification Method,improves,Arithmetic Accuracy,"HaluEval, FEVER, TruthfulQA, LLaMA-2",Experimental_Result,4,2505.09031,"Improving the Reliability of LLMs: Combining CoT, RAG, Self-Consistency, and Self-Verification",8
Large Language Model,degrades,Arithmetic Accuracy,"RCC-8, IA, zero-shot, all models",Experimental_Result,5,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,outperforms,Zero-Shot Prompting,"RCC-8, IA, few-shot, Qwen2.5-72B",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,improves,Arithmetic Accuracy,"RCC-8, IA, fine-tuned, Qwen models, gemma-2-27b",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,outperforms,Few-Shot Prompting,"RCC-8, IA, zero-shot, Qwen2.5-72B",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,outperforms,Large Language Model,"RCC-8, IA, zero-shot, Qwen2.5-72B vs others",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,outperforms,Large Language Model,"RCC-8, IA, fine-tuned, Qwen models and gemma-2-27b vs others",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,reduces,Arithmetic Accuracy,"RCC-8, IA, zero-shot, b>2 or k>4",Experimental_Result,5,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,correlates_with,Problem Complexity,"RCC-8, IA, zero-shot, b and k values",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,outperforms,Large Language Model,"RCC-8, IA, few-shot, b=1, Qwen2.5-14B, gemma-2-9b, phi-4",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,improves,Arithmetic Accuracy,"RCC-8, IA, fine-tuned, b=2, b=3, b=4 similar performance",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,degrades,Arithmetic Accuracy,"RCC-8, IA, fine-tuned, hardest relations",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,outperforms,Large Language Model,"RCC-8, IA, fine-tuned, Qwen2.5-14B vs o3-mini on trivial path relations",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Chain-of-Thought,improves,Arithmetic Accuracy,"RCC-8, IA, zero-shot, o3-mini, b=1, k=9",Experimental_Result,5,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Chain-of-Thought,degrades,Arithmetic Accuracy,"RCC-8, IA, zero-shot, o3-mini, b>=2",Experimental_Result,5,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,outperforms,Chain-of-Thought,"RCC-8, IA, zero-shot, o3-mini vs fine-tuned models on b>=2",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,degrades,Arithmetic Accuracy,"RCC-8, IA, zero-shot, distilled Deepseek-R1 models, b>=2",Experimental_Result,5,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,equals,Arithmetic Accuracy,"RCC-8, IA, zero-shot, distilled Deepseek-R1 models, k=9, b=1, above random chance",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,improves,Arithmetic Accuracy,"RCC-8, fine-tuned, Qwen2.5-14B, eq relation",Experimental_Result,5,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Large Language Model,improves,Arithmetic Accuracy,"IA, fine-tuned, Qwen2.5-14B, oi, m, s, si, fi relations",Experimental_Result,5,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Chain-of-Thought,reduces,Arithmetic Accuracy,"RCC-8, IA, zero-shot, o3-mini, no perfect results on any relation",Experimental_Result,4,2503.23487,Large Language and Reasoning Models are Shallow Disjunctive Reasoners,6
Chain-of-Thought,degrades,Arithmetic Accuracy,"CVBench, Llama-4-Scout-17B-16E-Instruct, SceneGraph CoT + PoT",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Chain-of-Thought,degrades,Arithmetic Accuracy,"CVBench, Llama-4-Scout-17B-16E-Instruct, SceneGraph CoT + CoS",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Chain-of-Thought,degrades,Arithmetic Accuracy,"CVBench, Llama-4-Scout-17B-16E-Instruct, SceneGraph CoT + VoT",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,improves,Arithmetic Accuracy,"CVBench, SpaceQwenVL-2.5-3B",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,improves,Arithmetic Accuracy,"CVBench, Pali-gemma2-3B-mix-224-GRPO-v2",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,improves,Arithmetic Accuracy,"CVBench, Pali-gemma2-3B-mix-224-SFT",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,improves,Arithmetic Accuracy,"CVBench, Llama-4-Scout-17B-16E-Instruct + SceneGraph CoT",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,improves,Arithmetic Accuracy,"CVBench, Llama-4-Scout-17B-16E-Instruct + 4-shot CoT Prompting (SG + A split)",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,improves,Arithmetic Accuracy,"CVBench, Llama-4-Scout-17B-16E-Instruct + 4-shot Conversational CoT Prompting",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,improves,Arithmetic Accuracy,"CVBench, Qwen2.5-VL-7B-Instruct + SceneGraph CoT",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,degrades,Arithmetic Accuracy,"CVBench, Pali-gemma2-3B-mix-224 + SceneGraph CoT",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,degrades,Arithmetic Accuracy,"CVBench, Llama-4-Scout-17B-16E-Instruct + SceneGraph CoT + Depth Maps",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,degrades,Arithmetic Accuracy,"CVBench, Llama-4-Scout-17B-16E-Instruct + SceneGraph CoT + Confidence Scores",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,degrades,Arithmetic Accuracy,"CVBench, Llama-4-Scout-17B-16E-Instruct + SceneGraph CoT + VLBA Alignment",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,improves,Arithmetic Accuracy,"CVBench, Pali-gemma2-3B-mix-224-GRPO-v1",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,improves,Arithmetic Accuracy,"CVBench, Pali-gemma2-3B-mix-224-SFT + SceneGraph CoT",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,improves,Arithmetic Accuracy,"CVBench, Qwen2.5-VL-7B-Instruct",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,improves,Arithmetic Accuracy,"CVBench, Llama-4-Scout-17B-16E-Instruct",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,improves,Arithmetic Accuracy,"CVBench, Pali-gemma2-3B-mix-224",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,improves,Arithmetic Accuracy,"CVBench, SpaceQwenVL-2.5-3B, 43.16% margin improvement",Experimental_Result,5,2507.13362,Enhancing Spatial Reasoning in Vision-Language Models via Chain-of-Thought Prompting and Reinforcement Learning,5
Large Language Model,improves,Step-by-Step Reasoning,"competitive programming benchmark, self-feedback single agent with retrieval framework",Experimental_Result,4,2509.00629,Can Multi-turn Self-refined Single Agent LMs with Retrieval Solve Hard Coding Problems?,4
Large Language Model,enables,Verification Method,"human-in-the-loop study, targeted guidance",Experimental_Result,5,2509.00629,Can Multi-turn Self-refined Single Agent LMs with Retrieval Solve Hard Coding Problems?,4
Chain-of-Thought,improves,Arithmetic Accuracy,"Stack Overflow, Gemini-1.5-Pro, GPT-4o, Llama-3.2",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4
Chain-of-Thought,outperforms,Few-Shot Prompting,"Stack Overflow, GPT-4o, Gemini-1.5-Pro",Experimental_Result,5,2504.18912,Inferring Questions from Programming Screenshots,4
Few-Shot Prompting,degrades,Arithmetic Accuracy,"Stack Overflow, Llama-3.2",Experimental_Result,5,2504.18912,Inferring Questions from Programming Screenshots,4
Large Language Model,correlates_with,Problem Complexity,"Stack Overflow, GPT-4o, Gemini-1.5-Pro, Llama-3.2",Experimental_Result,3,2504.18912,Inferring Questions from Programming Screenshots,4
Large Language Model,outperforms,Few-Shot Prompting,"Stack Overflow, GPT-4o, Gemini-1.5-Pro",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4
Large Language Model,improves,Arithmetic Accuracy,"Stack Overflow, GPT-4o, Gemini-1.5-Pro",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4
Large Language Model,degrades,Arithmetic Accuracy,"Stack Overflow, Llama-3.2",Experimental_Result,5,2504.18912,Inferring Questions from Programming Screenshots,4
Self-Consistency,correlates_with,Problem Complexity,"Stack Overflow, GPT-4o",Experimental_Result,3,2504.18912,Inferring Questions from Programming Screenshots,4
Verification Method,improves,Arithmetic Accuracy,"Stack Overflow, GPT-4o, Gemini-1.5-Pro",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4
Chain-of-Thought,enables,Step-by-Step Reasoning,"Stack Overflow, GPT-4o, Gemini-1.5-Pro",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4
Large Language Model,reduces,Arithmetic Accuracy,"Stack Overflow, Llama-3.2, Few-Shot Prompting",Experimental_Result,5,2504.18912,Inferring Questions from Programming Screenshots,4
Large Language Model,increases,Arithmetic Accuracy,"Stack Overflow, GPT-4o, Gemini-1.5-Pro, In-Context Learning",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4
Large Language Model,outperforms,Chain-of-Thought,"Stack Overflow, GPT-4o, In-Context Learning",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4
Large Language Model,equals,Chain-of-Thought,"Stack Overflow, Gemini-1.5-Pro, In-Context Learning",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4
Large Language Model,correlates_with,Problem Complexity,"Stack Overflow, GPT-4o, In-Context Learning",Experimental_Result,3,2504.18912,Inferring Questions from Programming Screenshots,4
Large Language Model,improves,Arithmetic Accuracy,"Stack Overflow, GPT-4o, In-Context Learning",Experimental_Result,5,2504.18912,Inferring Questions from Programming Screenshots,4
Large Language Model,degrades,Arithmetic Accuracy,"Stack Overflow, Llama-3.2, Few-Shot Prompting",Experimental_Result,5,2504.18912,Inferring Questions from Programming Screenshots,4
Large Language Model,correlates_with,Problem Complexity,"Stack Overflow, GPT-4o, Gemini-1.5-Pro, Chain-of-Thought",Experimental_Result,3,2504.18912,Inferring Questions from Programming Screenshots,4
Large Language Model,improves,Arithmetic Accuracy,"Stack Overflow, GPT-4o, Gemini-1.5-Pro, Chain-of-Thought",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4
Large Language Model,degrades,Arithmetic Accuracy,"Stack Overflow, Llama-3.2, Chain-of-Thought",Experimental_Result,4,2504.18912,Inferring Questions from Programming Screenshots,4
Chain-of-Thought,improves,Arithmetic Accuracy,"SleepCoT, sleep domain",Experimental_Result,5,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4
Few-Shot Prompting,improves,Step-by-Step Reasoning,"SleepCoT, sleep domain",Experimental_Result,5,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4
Large Language Model,outperforms,Few-Shot Prompting,"Qwen-max, sleep domain",Experimental_Result,4,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4
Chain-of-Thought,enables,Verification Method,"SleepCoT, ablation study",Experimental_Result,5,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4
Few-Shot Prompting,correlates_with,Problem Complexity,"SleepCoT, 0.5B vs 1.5B models",Experimental_Result,4,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4
Large Language Model,reduces,Arithmetic Accuracy,"SleepCoT-0.5B, sleep domain",Experimental_Result,4,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4
Chain-of-Thought,increases,Self-Consistency,"SleepCoT, personalized data increase",Experimental_Result,4,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4
Few-Shot Prompting,outperforms,Zero-Shot Prompting,"SleepCoT, ablation experiment",Experimental_Result,5,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4
Chain-of-Thought,depends_on,Problem Complexity,"SleepCoT, data quality",Theoretical_Analysis,3,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4
Large Language Model,improves,Arithmetic Accuracy,"SleepCoT-1.5B, sleep domain",Experimental_Result,5,2410.16924,SleepCoT: A Lightweight Personalized Sleep Health Model via Chain-of-Thought Distillation,4
Chain-of-Thought,improves,Arithmetic Accuracy,"GPQA, Qwen2.5-7B",Experimental_Result,4,2601.03649,SyncThink: A Training-Free Strategy to Align Inference Termination with Reasoning Saturation,3
Chain-of-Thought,reduces,Step-by-Step Reasoning,"SyncThink, Qwen2.5-7B",Experimental_Result,5,2601.03649,SyncThink: A Training-Free Strategy to Align Inference Termination with Reasoning Saturation,3
Chain-of-Thought,equals,Arithmetic Accuracy,"average benchmark, SyncThink vs Full Reasoning",Experimental_Result,5,2601.03649,SyncThink: A Training-Free Strategy to Align Inference Termination with Reasoning Saturation,3
Chain-of-Thought,reduces,Step-by-Step Reasoning,"average benchmark, SyncThink vs Full Reasoning",Experimental_Result,5,2601.03649,SyncThink: A Training-Free Strategy to Align Inference Termination with Reasoning Saturation,3
Chain-of-Thought,improves,Arithmetic Accuracy,"GPQA, Qwen2.5-7B, SyncThink vs Full Reasoning",Experimental_Result,5,2601.03649,SyncThink: A Training-Free Strategy to Align Inference Termination with Reasoning Saturation,3
Chain-of-Thought,improves,Arithmetic Accuracy,"GPQA, Qwen2.5-7B, SyncThink vs No Reasoning",Experimental_Result,5,2601.03649,SyncThink: A Training-Free Strategy to Align Inference Termination with Reasoning Saturation,3
Chain-of-Thought,improves,Arithmetic Accuracy,"MGSM, Qwen Instruct, COT-STRUCT",Experimental_Result,5,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Chain-of-Thought,improves,Arithmetic Accuracy,"MGSM, Qwen Instruct, all languages",Experimental_Result,5,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Large Language Model,outperforms,Few-Shot Prompting,"MGSM, English, Qwen Instruct",Experimental_Result,5,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Arithmetic Accuracy,correlates_with,Language,"MGSM, Qwen Instruct, COT-STRUCT",Experimental_Result,5,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Step-by-Step Reasoning,increases,Arithmetic Accuracy,"MGSM, Qwen Instruct, COT-STRUCT",Experimental_Result,5,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Self-Consistency,correlates_with,Step-by-Step Reasoning,"MGSM, Qwen Instruct, Bengali",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Large Language Model,degrades,Arithmetic Accuracy,"MGSM, Qwen Instruct, Bengali",Experimental_Result,5,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Verification Method,correlates_with,Step-by-Step Reasoning,"MGSM, Qwen Instruct, ContextCite",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Step-by-Step Reasoning,correlates_with,Arithmetic Accuracy,"MGSM, Qwen Instruct, final reasoning step",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Large Language Model,degrades,Structured Generation Compliance,"MGSM, Qwen Instruct, English",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Large Language Model,improves,Structured Generation Compliance,"MGSM, Qwen Instruct, Chinese",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Large Language Model,improves,Structured Generation Compliance,"MGSM, Qwen Instruct, French",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Large Language Model,degrades,Structured Generation Compliance,"MGSM, Qwen Instruct, Bengali",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Large Language Model,degrades,Structured Generation Compliance,"MGSM, Qwen Instruct, German",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Step-by-Step Reasoning,correlates_with,Arithmetic Accuracy,"MGSM, Qwen Instruct, incorrect predictions, English",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Step-by-Step Reasoning,correlates_with,Arithmetic Accuracy,"MGSM, Qwen Instruct, incorrect predictions, Bengali",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Step-by-Step Reasoning,correlates_with,Arithmetic Accuracy,"MGSM, Qwen Instruct, incorrect predictions, German",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Step-by-Step Reasoning,equals,Arithmetic Accuracy,"MGSM, Qwen Instruct, correct and incorrect predictions, French",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Step-by-Step Reasoning,equals,Arithmetic Accuracy,"MGSM, Qwen Instruct, correct and incorrect predictions, Chinese",Experimental_Result,4,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Large Language Model,degrades,Arithmetic Accuracy,"MGSM, Qwen Instruct, Bengali, COT-STRUCT",Experimental_Result,5,2511.15886,What Really Counts? Examining Step and Token Level Attribution in Multilingual CoT Reasoning,1
Goal Reversal,improves,Arithmetic Accuracy,"JudgeBench, GPT-4o",Experimental_Result,5,2503.06139,GRP: Goal-Reversed Prompting for Zero-Shot Evaluation with LLMs,1
Goal Reversal,improves,Arithmetic Accuracy,"JudgeBench, Gemini-1.5-Pro",Experimental_Result,5,2503.06139,GRP: Goal-Reversed Prompting for Zero-Shot Evaluation with LLMs,1
Goal Reversal,improves,Arithmetic Accuracy,"JudgeBench, Claude-3.5-Sonnet",Experimental_Result,5,2503.06139,GRP: Goal-Reversed Prompting for Zero-Shot Evaluation with LLMs,1
Goal Reversal,improves,Mathematical Reasoning,"JudgeBench, GPT-4o",Experimental_Result,5,2503.06139,GRP: Goal-Reversed Prompting for Zero-Shot Evaluation with LLMs,1
Goal Reversal,improves,Mathematical Reasoning,"JudgeBench, Gemini-1.5-Pro",Experimental_Result,5,2503.06139,GRP: Goal-Reversed Prompting for Zero-Shot Evaluation with LLMs,1
Goal Reversal,improves,Mathematical Reasoning,"JudgeBench, Claude-3.5-Sonnet",Experimental_Result,5,2503.06139,GRP: Goal-Reversed Prompting for Zero-Shot Evaluation with LLMs,1
